Categoria,Rating,Promedio descargas
Casino,3.5,103237.0
Casino,3.6,79313.0
Casino,3.7,72344.0
Casino,3.8,134974.0
Casino,3.9,387755.0
Casino,4.0,227059.0
Casino,4.1,268052.0
Casino,4.2,680777.0
Casino,4.3,901085.0
Casino,4.4,1150388.0
Casino,4.5,1163438.0
Casino,4.6,824756.0
Casino,4.7,798999.0
Casino,4.8,426496.0
Casino,4.9,26610.0
Casino,5.0,14181.0
Casual,0.0,1042.0
Casual,1.0,1264.0
Casual,1.1,690.0
Casual,1.2,1998.0
Casual,1.3,6008.0
Casual,1.4,1262.0
Casual,1.5,4242.0
Casual,1.6,30157.0
Casual,1.7,12108.0
Casual,1.8,140732.0
Casual,1.9,77491.0
Casual,2.0,22017.0
Casual,2.1,83618.0
Casual,2.2,42465.0
Casual,2.3,74335.0
Casual,2.4,45816.0
Casual,2.5,72341.0
Casual,2.6,147004.0
Casual,2.7,115630.0
Casual,2.8,89675.0
Casual,2.9,80651.0
Casual,3.0,172475.0
Casual,3.1,200125.0
Casual,3.2,193148.0
Casual,3.3,323230.0
Casual,3.4,398130.0
Casual,3.5,417503.0
Casual,3.6,517482.0
Casual,3.7,413241.0
Casual,3.8,762122.0
Casual,3.9,1218102.0
Casual,4.0,1546096.0
Casual,4.1,1776459.0
Casual,4.2,2013590.0
Casual,4.3,3689343.0
Casual,4.4,2073965.0
Casual,4.5,1415909.0
Casual,4.6,1773121.0
Casual,4.7,184531.0
Casual,4.8,38131.0
Casual,4.9,12862.0
Casual,5.0,1163.0
Citas,0.0,1588.0
Citas,1.0,925.0
Citas,1.1,30433.0
Citas,1.2,3092.0
Citas,1.4,110334.0
Citas,1.5,3753.0
Citas,1.6,19224.0
Citas,1.7,18380.0
Citas,1.8,79862.0
Citas,1.9,87406.0
Citas,2.0,30676.0
Citas,2.1,40030.0
Citas,2.2,82278.0
Citas,2.3,89486.0
Citas,2.4,76062.0
Citas,2.5,27598.0
Citas,2.6,96729.0
Citas,2.7,37996.0
Citas,2.8,122483.0
Citas,2.9,85696.0
Citas,3.0,71391.0
Citas,3.1,177560.0
Citas,3.2,331009.0
Citas,3.3,307551.0
Citas,3.4,256028.0
Citas,3.5,147913.0
Citas,3.6,499716.0
Citas,3.7,184663.0
Citas,3.8,374905.0
Citas,3.9,537346.0
Citas,4.0,1621957.0
Citas,4.1,527185.0
Citas,4.2,228783.0
Citas,4.3,164098.0
Citas,4.4,559834.0
Citas,4.5,210852.0
Citas,4.6,84616.0
Citas,4.7,109283.0
Citas,4.8,37610.0
Citas,4.9,38724.0
Citas,5.0,2942.0
Clima,0.0,3060.0
Clima,1.1,5026.0
Clima,1.2,546.0
Clima,1.3,14434.0
Clima,1.4,5747.0
Clima,1.5,26841.0
Clima,1.6,5590.0
Clima,1.7,32394.0
Clima,1.8,8244.0
Clima,1.9,14029.0
Clima,2.0,40611.0
Clima,2.1,11429.0
